Population	BT-M91*	D1	E	C-M130*	C1b3b-M347* (xDYS390.1del.M210)	F-M89*	G-M201	H	J-P209	K-M9*	K2-M526* (xS-P308)	L-M20	NO1 (K1a1)-M214*	O (K1a1b)-M175*	O1a-M119*	O1a1a-P203	O1a2-M110=M50	O1b-M268=P31*	O1b1a1a1a1a1-M88	O2-M122*	O2a-M324*	O2a2-P201	O2a2b-P164	S1a1a1-P308	S1a1b-M230*	S1a2-P79	M (K2b1b)-P256*	M1-M4=M186*	M1a-P34*	M2-M353*	M3-P117	P-M45*	Q-M242	R1-M173	I-M258	R2
Solomon_Austronesian	0	0	0	16.447	0	0	0	0	0	5.921	0	0	0	0	2.632	0	5.263	0	0	0.658	8.991	0	0	0	2.412	5.921	1.316	0	13.596	24.561	12.281	0	0	0	0	0
Solomon_Papuan	0	0	0	10.377	0	0	0	0	0	9.434	0	0	0	0	0	0	1.887	0	0	0.943	5.660	0	0	0	0	2.830	2.830	0	8.491	42.453	15.094	0	0	0	0	0
Polynesian outliers	0	0	0	25.333	0	0	0	0	0	1.333	0	0	0	0	0	0	4.667	0	35.333	0	31.333	0	0	0	0	1.333	0	0	0	0.667	0	0	0	0	0	0
West New Guinea	0	0	0	16.757	0	0	0	0	0	5.405	0	0	0	0	0	0	0	0	0	0	0.541	0	0	0	1.622	0	0	3.243	72.432	0	0	0	0	0	0	0
Papua New Guinea	0	0	0	7.292	0	0	0	0	0	8.854	0	0	0	0	3.125	0	5.208	0	0	0	8.854	0	0	0	23.438	1.042	0	1.042	40.625	0	0	0.521	0	0	0	0
Bismarck Archipelago	0	0	0	6.039	0	0	0	0	0	22.331	0	0	0	1.124	1.966	0	3.652	0	0	2.388	0.140	0	0	0	8.567	17.416	0	2.809	25.421	0	8.006	0.140	0	0	0	0
Bougainville	0	0	0	1.408	0	5.634	0	0	0	33.803	0	0	0	2.817	9.859	0	0	0	0	1.408	0	0	0	0	1.408	4.225	0	0	38.028	0	1.408	0	0	0	0	0
Fiji	0	0	0	21.782	0	0.990	0	0	0	12.871	0	0	0.990	0	4.950	0	0.990	0	0	0	6.931	0	0	0	0	10.891	0	0	31.683	3.960	1.980	0	0	1.980	0	0
Polynesia	0.313	0	0	41.250	0	1.875	0	0	0	2.813	0	0	0	0	0.625	0	0.313	0	1.250	0	30.000	0.625	0.938	0	0.313	13.125	0	0	3.438	0.313	0.313	0	0	2.500	0	0
Marquesas Is.	0	0	0	66.667	0	0	0	0	0	11.5942029	0	0	0	7.246376812	0	0	0	0	0	0	5.797	0	8.695652174	0	0	0	0	0	0	0	0	0	0	0	0	0
Leeward Society Is.	0	0	0	66.66666667	0	0	0	0	0	0	0	0	0	0	6.944444444	0	0	0	0	0	5.555555556	0	11.11111111	0	0	9.722222222	0	0	0	0	0	0	0	0	0	0
Kiritimati	0	0	0.61	13.5	0	0	0	0	0	0	0	0	0	11.66	0	0	0	0	0	0	2.45	0	69.94	0	0	0	0	0	0	0	0	0	0	1.23	0.61	0
YAMI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.000	66.667	0	0	0	0	4.167	0	0	0	0	0	0	0	0	0	0	4.166666667	0	0	0	0
