Name;Axis 1;Axis 2;Axis 3
KIR;-0.47756;-0.14864;-0.091672
TLS;0.095837;0.0023632;-0.00015758
KDY;-0.15337;-0.10166;0.19015
LUZ;0.10142;0.021817;-0.0074577
TWN;-0.67716;0.16834;0.011493
SGH;0.097107;0.013534;-0.0022663
SGI;0.10369;0.027889;-0.0056108
SGM;0.10347;0.027528;-0.0049394
GNM;0.03566;-0.055588;0.029722
IBK;0.09958;0.023452;-0.015662
SZK;0.10295;0.025171;0.0080206
TKY;0.096372;0.0045595;0.015676
VNM;-0.094784;-0.10069;-0.045129
CJS;0.10507;0.044313;-0.0496
DAI;0.059216;-0.018443;0.048573
CXW;-0.046311;0.038941;0.0093937
BAI;0.079338;-0.039745;0.0078618
MLN;0.1038;0.037143;-0.037313
KOR;0.10302;0.033301;-0.034047
MNG;0.085631;-0.0075637;-0.027813
MIN;0.077017;0.0039742;0.00077791
