Population	B4* (xB4a1a1xB4b)	B4a1a1	B4b	B5	E1	E2	M7* (xM7c)	M7c	M27	M28	M29	P* (xP1)	P1	Q*(xQ1xQ2)	Q1	Q2	Others	
West New Guinea	0	0	0	0	0	0	0	0	0	0	0	0	24.12280702	2.192982456	61.84210526	0	10.0877193	
Papua New Guinea	13.02083333	26.5625	0	0	1.5625	2.083333333	0	0	0	0	0.520833333	2.083333333	16.66666667	7.291666667	19.79166667	0.520833333	9.375	
Bismarck Archipelago	6.790945406	28.49533955	0.532623169	0.399467377	0.266311585	0	0.798934754	0.266311585	1.997336884	28.49533955	0	0.798934754	2.92942743	0.665778961	14.78029294	11.58455393	1.19840213	
Bougainville	6.880733945	35.77981651	0.458715596	0	0	0	0	0	21.55963303	2.293577982	0	0	3.669724771	0	28.44036697	0	0.917431193	
Kiritimati (R. Kiribati)	17.79141104	41.71779141	18.40490798	0	0	0	0	14.72392638	0	0	0	0	4.294478528	0	3.067484663	0	0	
Solomon Islands	0.1953125	74.4140625	0.78125	0.5859375	1.7578125	0.5859375	0	0.390625	15.625	1.3671875	0.1953125	0	0.78125	0	2.1484375	0.1953125	0	
Fiji	0	83.67346939	0	0	0	0	0	0	0	8.163265306	0	0	4.081632653	0	2.040816327	2.040816327	0	
Polynesian Outliers	0	89.93710692	0	0	0	0	0	5.031446541	0	0	0	0	0	0	0.628930818	0	0	
Polynesia	0.88691796	95.12195122	0.66518847	0	0	0	0	0.22172949	0	0.88691796	0	0	0.66518847	0	1.10864745	0.44345898	0	
Cook Islands	0	98.46153846	0	0	0	0	0	0	0	0	0	0	0	0	1.538461538	0	0	
Futuna	0	95.83333333	0	0	0	0	0	0	0	2.083333333	0	0	0	0	0	2.083333333	0	
Niue	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Samoa	0	93.61702128	0	0	0	0	0	0	0	2.127659574	0	0	0	0	4.255319149	0	0	
Tonga	0	92.30769231	0	0	0	0	0	0	0	3.846153846	0	0	3.846153846	0	0	0	0	
Tuvalu	0	90	6	0	0	0	0	2	0	0	0	0	2	0	0	0	0	
Marquesas	4.597701149	95.40229885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Leeward Society Is.	0	96.2962963	0	0	0	0	0	0	0	0	0	0	0	0	2.469135802	1.234567901	0	
Myanmar	1.834862385	0	0	3.669724771	0	0	2.140672783	0.917431193	0	0	0	0	0	0	0	0	91.43730887	
Taiwan	15.09018182	0	6	6.181818182	6	2.909090909	10.72727273	7.636363636	0	0	0	0	0	0	0.363636364	0	45.09163636	
TW-Ami	22.72727273	0	2.272727273	6.818181818	11.36363636	2.272727273	2.272727273	15.90909091	0	0	0	0	0	0	0	0	36.36363636	
TW-Yami	38.66666667	0	2.666666667	0	1.333333333	0	16	20	0	0	0	0	0	0	0	0	21.33333333	
Philippines	14.84593838	0.280112045	10.92436975	8.403361345	9.523809524	1.680672269	1.400560224	17.92717087	0	0	0	3.361344538	0.280112045	0.280112045	0	0	31.09243697	
Thai-Laos	4.879482657	0	1.646090535	10.28806584	0	0	9.87654321	2.351557907	0	0	0	0	0	0	0	0	70.95825985	
Western IDN	17.65663907	0.174978128	1.13735783	14.60125177	2.710814994	0.958341746	1.920721448	7.085268188	0	0	0	0	0	0.262467192	0	0	53.49215963
Eastern IDN	10.01177856	2.650176678	4.18138987	6.301531213	8.951707892	3.769140165	4.416961131	7.65606596	0	0	0.176678445	0.942285041	3.59246172	0.058892815	5.594817432	0.530035336	41.16607774
Total IDN	13.08748274	1.654347061	2.956705385	9.640700728	6.440852354	2.638290959	3.412666179	7.426420816	0	0	0.105596621	0.563181978	2.147131292	0.140795495	3.343892995	0.316789863	46.12514553
Total IDN+East Timor	12.89732944	1.948259342	2.906419674	9.131022283	7.345404516	2.585558804	3.096577648	7.920300715	0	0	0.095816033	0.511018844	2.331523475	0.159693389	4.471414883	0.2874481	44.31221286
East Timor	11.03448276	4.827586207	2.413793103	4.137931034	16.20689655	2.068965517	0	12.75862069	0	0	0	0	4.137931034	0.344827586	15.51724138	0	26.55172414
