Population	B4* (xB4a1a1xB4b)	B4a1a1	B4b	B5	E1	E2	M7* (xM7c)	M7c	M27	M28	M29	P* (xP1)	P1	Q*(xQ1xQ2)	Q1	Q2	Others	
West New Guinea	0	0	0	0	0	0	0	0	0	0	0	0	24.12280702	2.192982456	61.84210526	0	10.0877193	
Papua New Guinea	13.02083333	26.5625	0	0	1.5625	2.083333333	0	0	0	0	0.520833333	2.083333333	16.66666667	7.291666667	19.79166667	0.520833333	9.375	
Bismarck Archipelago	6.790945406	28.49533955	0.532623169	0.399467377	0.266311585	0	0.798934754	0.266311585	1.997336884	28.49533955	0	0.798934754	2.92942743	0.665778961	14.78029294	11.58455393	1.19840213	
Bougainville	6.880733945	35.77981651	0.458715596	0	0	0	0	0	21.55963303	2.293577982	0	0	3.669724771	0	28.44036697	0	0.917431193	
Kiritimati (R. Kiribati)	17.79141104	41.71779141	18.40490798	0	0	0	0	14.72392638	0	0	0	0	4.294478528	0	3.067484663	0	0	
Solomon Islands	0.1953125	74.4140625	0.78125	0.5859375	1.7578125	0.5859375	0	0.390625	15.625	1.3671875	0.1953125	0	0.78125	0	2.1484375	0.1953125	0	
Fiji	0	83.67346939	0	0	0	0	0	0	0	8.163265306	0	0	4.081632653	0	2.040816327	2.040816327	0	
Polynesian Outliers	0	89.93710692	0	0	0	0	0	5.031446541	0	0	0	0	0	0	0.628930818	0	0	
Polynesia	0.88691796	95.12195122	0.66518847	0	0	0	0	0.22172949	0	0.88691796	0	0	0.66518847	0	1.10864745	0.44345898	0	
Cook Islands	0	98.46153846	0	0	0	0	0	0	0	0	0	0	0	0	1.538461538	0	0	
Futuna	0	95.83333333	0	0	0	0	0	0	0	2.083333333	0	0	0	0	0	2.083333333	0	
Niue	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Samoa	0	93.61702128	0	0	0	0	0	0	0	2.127659574	0	0	0	0	4.255319149	0	0	
Tonga	0	92.30769231	0	0	0	0	0	0	0	3.846153846	0	0	3.846153846	0	0	0	0	
Tuvalu	0	90	6	0	0	0	0	2	0	0	0	0	2	0	0	0	0	
Marquesas	4.597701149	95.40229885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Leeward Society Is.	0	96.2962963	0	0	0	0	0	0	0	0	0	0	0	0	2.469135802	1.234567901	0	
Myanmar	1.834862385	0	0	3.669724771	0	0	2.140672783	0.917431193	0	0	0	0	0	0	0	0	91.43730887	
Taiwan	15.09018182	0	6	6.181818182	6	2.909090909	10.72727273	7.636363636	0	0	0	0	0	0	0.363636364	0	45.09163636	
TW-Ami	22.72727273	0	2.272727273	6.818181818	11.36363636	2.272727273	2.272727273	15.90909091	0	0	0	0	0	0	0	0	36.36363636	
TW-Yami	38.66666667	0	2.666666667	0	1.333333333	0	16	20	0	0	0	0	0	0	0	0	21.33333333	
Philippines	14.84593838	0.280112045	10.92436975	8.403361345	9.523809524	1.680672269	1.400560224	17.92717087	0	0	0	3.361344538	0.280112045	0.280112045	0	0	31.09243697	
Thai-Laos	4.879482657	0	1.646090535	10.28806584	0	0	9.87654321	2.351557907	0	0	0	0	0	0	0	0	70.95825985	
East Timor NAN	14.85148515	5.940594059	2.97029703	2.97029703	18.81188119	0	0	10.89108911	0	0	0	0	4.95049505	0	10.89108911	0	27.72277228	
East Timor AN	8.994708995	4.232804233	2.116402116	4.761904762	14.81481481	3.174603175	0	13.75661376	0	0	0	0	3.703703704	0.529100529	17.98941799	0	25.92592593	
Gayo	6.452	0.000	0.000	6.452	0.000	1.613	4.839	4.839	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	75.806	
Batak Toba	16.667	0.000	0.000	0.000	0.000	0.000	0.000	7.143	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	76.190	
Besemah	8.333	0.000	0.000	8.333	16.667	2.778	0.000	30.556	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	33.333	
Semende	22.222	0.000	0.000	2.778	2.778	0.000	0.000	5.556	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	66.667	
Nias	15.254	0.000	0.000	11.864	0.000	0.000	0.000	13.559	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	59.322	
Mentawai	0.000	0.000	0.000	23.438	3.125	0.000	0.000	25.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	48.438	
Lebbo'	21.053	0.000	0.000	15.789	21.053	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	42.105	
Ma'anyan	35.220	0.000	8.176	3.774	0.000	0.000	1.258	1.258	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	50.314	
SK Dayak	18.462	0.000	0.000	10.769	1.538	4.615	4.615	1.538	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	58.462	
Java	7.843	0.000	0.000	7.843	1.961	3.922	5.882	7.843	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	64.706	
Bali	19.507	0.411	0.000	20.945	2.875	0.821	2.259	3.080	0.000	0.000	0.000	0.000	0.000	0.616	0.000	0.000	49.487	
Mandar	7.407	0.000	0.000	3.704	38.889	9.259	3.704	9.259	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	27.778	
Kajang	26.087	0.000	17.391	0.000	13.043	2.174	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	41.304	
Toraja	22.000	2.000	0.000	0.000	24.000	4.000	2.000	6.000	0.000	0.000	0.000	0.000	0.000	0.000	4.000	0.000	36.000	
Bugis	16.000	2.000	0.000	2.000	20.000	6.000	4.000	10.000	0.000	0.000	0.000	0.000	2.000	0.000	2.000	0.000	36.000	
