Population	Region1	Region2	RegionNum
West New Guinea	New Guinea	New Guinea	5
Papua New Guinea	New Guinea	New Guinea	5
Bismarck Archipelago	New Guinea Islands	New Guinea Islands	6
Bougainville	New Guinea Islands	New Guinea Islands	6
Kiritimati (R. Kiribati)	Kiritimati	Kiritimati	7
Solomon Islands	Solomon Islands	Solomon Islands	8
Fiji	Fiji	Fiji	9
Polynesian Outliers	Polynesian Outliers	Polynesian Outliers	10
Polynesia	Polynesia	Polynesia	11
Cook Islands	Polynesia	Polynesia	11
Futuna	Polynesia	Polynesia	11
Niue	Polynesia	Polynesia	11
Samoa	Polynesia	Polynesia	11
Tonga	Polynesia	Polynesia	11
Tuvalu	Polynesia	Polynesia	11
Marquesas	Polynesia	Polynesia	11
Leeward Society Is.	Polynesia	Polynesia	11
Myanmar	MSEA	MSEA	1
Taiwan	ISEA	ISEA	2
TW-Ami	ISEA	ISEA	2
TW-Yami	ISEA	ISEA	2
Philippines	ISEA	ISEA	2
Thai-Laos	MSEA	MSEA	1
East Timor NAN	ISEA	East Indonesia	4
East Timor AN	ISEA	East Indonesia	4
Gayo 	ISEA	West Indonesia	3
Batak Toba 	ISEA	West Indonesia	3
Besemah 	ISEA	West Indonesia	3
Semende 	ISEA	West Indonesia	3
Nias 	ISEA	West Indonesia	3
Mentawai 	ISEA	West Indonesia	3
Lebbo' 	ISEA	West Indonesia	3
Ma'anyan 	ISEA	West Indonesia	3
SK Dayak 	ISEA	West Indonesia	3
Java 	ISEA	West Indonesia	3
Bali 	ISEA	West Indonesia	3
Mandar 	ISEA	East Indonesia	4
Kajang 	ISEA	East Indonesia	4
Toraja 	ISEA	East Indonesia	4
Bugis 	ISEA	East Indonesia	4
Bajo 	ISEA	East Indonesia	4
Sumba 	ISEA	East Indonesia	4
Flores 	ISEA	East Indonesia	4
Lembata 	ISEA	East Indonesia	4
Pantar 	ISEA	East Indonesia	4
Alor 	ISEA	East Indonesia	4
North Maluku 	ISEA	East Indonesia	4
